PRPS2,PRPSAP1
PRPS2,PPAT
PRPS2,PRPSAP2
PRPS2,RBKS
PRPS2,RPIA
PRPS2,TKTL2
PRPS2,TKT
PRPS2,TKTL1
PRPS2,PGM2
HSPBP1,HSPA4
HSPBP1,HSPA1A
HSPBP1,HSPA8
HSPBP1,HSPA1B
HSPBP1,BAG1
HSPBP1,BAG2
HSPBP1,HSPH1
HSPBP1,HSP90AA1
HSPBP1,HSPA4L
HSPBP1,STUB1
ANTXR2,FURIN
ANTXR2,ANTXR1
ANTXR2,VWF
ANTXR2,LRP6
ANTXR2,SCUBE1
ANTXR2,ERAP1
ANTXR2,DCBLD2
ANTXR2,BAMBI
ANTXR2,ESAM
ANTXR2,PI4K2A
HOOK2,AKTIP
HOOK2,FAM160A2
HOOK2,ZC3H14
HOOK2,HOOK3
HOOK2,HOOK1
HOOK2,CENPF
HOOK2,CCNB1IP1
HOOK2,CCDC64B
HOOK2,DYNC1LI1
HOOK2,HMGA2
INPP5B,SACM1L
INPP5B,FAM109A
INPP5B,INPP4A
INPP5B,INPP4B
INPP5B,OCRL
INPP5B,PTEN
INPP5B,IPMK
INPP5B,TPTE2
INPP5B,ITPKC
INPP5B,ITPKB
ABCC9,KCNJ11
ABCC9,KCNJ8
ABCC9,ABCC8
ABCC9,ABCA9
ABCC9,ABCA2
ABCC9,ABCB6
ABCC9,ATP1A2
ABCC9,ATP2A2
ABCC9,ABCG8
ABCC9,ABCG5
CCT6A,CCT7
CCT6A,CCT5
CCT6A,CCT8
CCT6A,CCT3
CCT6A,CCT2
CCT6A,TCP1
CCT6A,CCT4
CCT6A,BBS10
CCT6A,PPP2R2C
CCT6A,PPP2CA
CUL4B,RBX1
CUL4B,DDB1
CUL4B,DTL
CUL4B,CAND1
CUL4B,DDB2
CUL4B,COPS5
CUL4B,DCAF11
CUL4B,DCAF4
CUL4B,VPRBP
CUL4B,CRBN
NLRP4,BECN1
NLRP4,DTX4
NLRP4,UBB
NLRP4,RPS27A
NLRP4,UBA52
NLRP4,UBC
NLRP4,CASP1
NLRP4,TBK1
NLRP4,PYCARD
NLRP4,NAIP
CCT7,CCT6A
CCT7,CCT5
CCT7,CCT8
CCT7,CCT3
CCT7,CCT2
CCT7,TCP1
CCT7,CCT4
CCT7,BBS10
CCT7,CCT6B
CCT7,PPP2CA
RAN,NUTF2
RAN,XPO5
RAN,RANBP2
RAN,KPNB1
RAN,RCC1
RAN,XPO1
RAN,RANGAP1
RAN,RANBP1
RAN,XPOT
RAN,CSE1L
VPS13D,KIAA2013
VPS13D,IGSF21
VPS13D,EMC1
VPS13D,KIAA1109
VPS13D,RALYL
VPS13D,AKR7A2
VPS13D,SHE
VPS13D,HACE1
VPS13D,AKR7A3
VPS13D,VPS11
ASIP,MC1R
ASIP,LNPEP
ASIP,VAMP2
ASIP,SLC2A4
ASIP,ENSP00000451560
ASIP,ATRN
ASIP,MC3R
ASIP,MC4R
ASIP,TYRP1
ASIP,TYR
DDX54,NOP2
DDX54,NIFK
DDX54,DDX24
DDX54,DDX55
DDX54,DHX37
DDX54,ESR2
DDX54,DDX18
DDX54,RPF2
DDX54,GNL3L
DDX54,DHX33
RAB26,ATG16L1
RAB26,AGFG1
RAB26,ZNF436
RAB26,BHLHA15
RAB26,DCPS
RAB26,ZMAT3
RAB26,TCEB3
RAB26,MED7
RAB26,MED28
RAB26,MED4
ARHGAP17,AMOT
ARHGAP17,CDC42
ARHGAP17,TRIP10
ARHGAP17,RAC1
ARHGAP17,AMOTL1
ARHGAP17,SH3KBP1
ARHGAP17,AMOTL2
ARHGAP17,MPP5
ARHGAP17,INADL
ARHGAP17,LCMT1
HAPLN1,HCRTR1
HAPLN1,HCRT
HAPLN1,EDIL3
HAPLN1,ACAN
HAPLN1,LGALS12
HAPLN1,HCRTR2
HAPLN1,COL9A1
HAPLN1,PCDH15
HAPLN1,NPTX2
HAPLN1,PRELP
ANKRD13D,TANC2
ANKRD13D,RNF41
ANKRD13D,ADGB
ANKRD13D,CRISPLD2
ANKRD13D,UBE2N
ANKRD13D,SYMPK
ANKRD13D,AP2S1
ANKRD13D,C1orf162
ANKRD13D,UBA1
ANKRD13D,RNF216
VPS4B,CHMP1A
VPS4B,CHMP2A
VPS4B,CHMP2B
VPS4B,VTA1
VPS4B,CHMP1B
VPS4B,CHMP5
VPS4B,CHMP4A
VPS4B,IST1
VPS4B,CHMP6
VPS4B,CHMP4B
HIP1,CLTB
HIP1,CLTC
HIP1,HTT
HIP1,CLTA
HIP1,IFT57
HIP1,CLTCL1
HIP1,AP2A1
HIP1,CASP8
HIP1,DBNL
HIP1,ACTR2
HOMEZ,HOXC8
HOMEZ,TULP4
HOMEZ,HDX
HOMEZ,PRDM5
HOMEZ,ADNP2
HOMEZ,TBRG1
HOMEZ,FAM83A
HOMEZ,SMYD1
HOMEZ,TBC1D31
HOMEZ,ABTB1
MYH1,MYL1
MYH1,MYLPF
MYH1,MYL6B
MYH1,MYH2
MYH1,MYL9
MYH1,MYL3
MYH1,MYL5
MYH1,MYH8
MYH1,MYH10
MYH1,MYH7
ACTN2,TTN
